mean	median	max
164.14619883040936	53.0	2156.0
173.9076086956522	64.0	3658.0
207.56770833333334	70.0	3322.0
174.67088607594937	66.0	2156.0
180.62841530054644	55.0	1948.0
162.3065693430657	57.0	2542.0
200.301775147929	64.0	3591.0
263.51552795031057	60.0	11506.0
134.08695652173913	57.0	1279.0
192.4180790960452	54.0	5131.0
166.45882352941177	67.0	1677.0
202.02958579881656	76.0	2542.0
192.2816091954023	68.0	3658.0
183.4696132596685	68.0	3212.0
195.24590163934425	74.0	2312.0
188.50785340314135	63.0	3212.0
164.8284023668639	68.0	1948.0
193.6235294117647	57.0	2156.0
173.21875	64.5	2886.0
159.88439306358381	63.0	1835.0
138.30722891566265	65.5	1669.0
215.3842105263158	70.0	3120.0
203.10596026490066	65.0	2072.0
149.13812154696132	74.0	1967.0
145.66860465116278	68.0	1669.0
355.989417989418	63.0	39504.0
292.6505376344086	57.0	12173.0
167.45402298850576	51.0	2072.0
178.92655367231637	52.0	5131.0
171.40414507772022	66.0	3212.0
195.2408376963351	68.0	3799.0
239.23756906077347	57.0	5131.0
205.59259259259258	78.5	3212.0
336.90909090909093	63.0	39504.0
162.9025641025641	46.0	3799.0
186.92857142857142	58.5	4906.0
221.2325581395349	68.5	11506.0
171.66304347826087	54.0	3120.0
218.26404494382024	73.5	11506.0
183.52906976744185	71.5	2156.0
177.75	60.5	5131.0
164.34969325153375	67.0	3799.0
219.10588235294117	56.5	3212.0
156.5151515151515	68.0	2085.0
135.98882681564245	52.0	1677.0
141.51685393258427	58.0	1279.0
173.29347826086956	58.0	3120.0
197.60479041916167	57.0	2156.0
268.36507936507934	54.0	11506.0
166.66666666666666	74.0	3754.0
161.96315789473684	55.5	2156.0
112.59685863874346	52.0	1124.0
175.6022099447514	61.0	4906.0
177.50574712643677	67.5	3047.0
221.37333333333333	58.0	5623.0
182.29943502824858	55.0	3658.0
245.58620689655172	71.0	11506.0
183.7287234042553	60.0	2518.0
202.6476683937824	73.0	3658.0
151.14689265536722	42.0	1515.0
191.87567567567567	57.0	4906.0
161.37724550898204	60.0	3591.0
134.38011695906434	59.0	1698.0
137.88397790055248	41.0	1967.0
185.64673913043478	79.5	3047.0
255.55089820359282	72.0	11506.0
173.14857142857142	56.0	2304.0
175.6153846153846	54.5	3212.0
175.98342541436463	54.0	3799.0
177.3986928104575	68.0	3212.0
364.16831683168317	61.0	39504.0
220.38036809815952	58.0	10808.0
141.13793103448276	54.5	2542.0
155.77659574468086	49.5	2156.0
149.8452380952381	63.0	2304.0
177.80645161290323	74.0	3212.0
180.56020942408378	50.0	3799.0
207.11176470588236	52.5	11506.0
198.87292817679557	73.0	1967.0
188.5175879396985	87.0	2312.0
416.4594594594595	63.0	39504.0
123.80459770114942	45.5	1686.0
194.0119760479042	68.0	4906.0
129.05	52.0	1967.0
206.01796407185628	51.0	5131.0
158.41772151898735	75.0	2085.0
181.75739644970415	63.0	2542.0
171.95	62.5	2715.0
203.05978260869566	88.0	2518.0
149.30167597765364	59.0	1915.0
151.74675324675326	71.0	2034.0
156.1772151898734	60.5	3591.0
217.23076923076923	57.5	11506.0
146.55696202531647	43.0	3591.0
182.87027027027028	55.0	5623.0
150.9496855345912	58.0	2215.0
149.98843930635837	70.0	2304.0
168.97452229299364	56.0	2542.0
429.3939393939394	72.0	39504.0
149.80232558139534	53.0	2304.0
158.03589743589743	49.0	3120.0
173.95731707317074	59.5	2715.0
122.26347305389221	50.0	2495.0
154.88741721854305	54.0	1915.0
143.6098901098901	56.5	3322.0
163.6290322580645	69.0	3799.0
165.86153846153846	54.0	3799.0
172.94475138121547	55.0	5131.0
131.8734939759036	59.0	1569.0
136.94444444444446	55.0	2495.0
141.8	54.0	2304.0
140.53757225433526	44.0	2085.0
198.16571428571427	79.0	2518.0
153.7150837988827	78.0	2304.0
258.77894736842103	58.5	12173.0
151.8048780487805	53.5	1517.0
207.0718232044199	58.0	3754.0
386.63978494623655	55.5	39504.0
150.0977011494253	49.5	2304.0
159.22543352601156	57.0	2348.0
171.17032967032966	61.0	1787.0
194.80327868852459	82.0	4906.0
168.03763440860214	55.5	3799.0
167.4345238095238	52.0	3264.0
152.89156626506025	67.0	2542.0
212.4418604651163	50.0	12173.0
161.2556818181818	72.0	1664.0
122.95054945054945	55.0	1279.0
210.69543147208122	70.0	11506.0
245.48366013071896	51.0	12173.0
222.33532934131736	55.0	12173.0
168.2814371257485	70.0	1967.0
197.90697674418604	60.0	4906.0
161.27218934911244	81.0	1787.0
143.06285714285715	58.0	1967.0
156.135593220339	56.0	3264.0
196.672131147541	79.0	2156.0
144.4863387978142	55.0	2304.0
150.76023391812865	61.0	1493.0
153.37016574585635	59.0	2542.0
139.24193548387098	63.5	1279.0
168.36	75.0	3591.0
197.61691542288557	71.0	2215.0
212.80368098159508	83.0	3212.0
145.7377049180328	63.0	2304.0
164.01117318435755	54.0	2304.0
192.35195530726256	77.0	2518.0
132.30285714285714	40.0	2348.0
170.13829787234042	56.5	3591.0
128.49685534591194	55.0	1331.0
127.47513812154696	63.0	2304.0
201.0108695652174	61.5	4906.0
200.36612021857923	81.0	11506.0
161.18235294117648	48.0	2156.0
150.44565217391303	50.5	1669.0
163.43502824858757	60.0	2734.0
175.06666666666666	49.5	2304.0
211.53591160220995	74.0	4906.0
174.46994535519124	63.0	1669.0
262.0451612903226	73.0	11506.0
129.43093922651934	50.0	3264.0
149.2808988764045	64.0	2085.0
179.52409638554218	64.0	4906.0
209.95555555555555	61.5	4906.0
132.08064516129033	70.5	1149.0
210.5079365079365	57.0	12173.0
126.80346820809248	51.0	1279.0
196.7456647398844	83.0	1970.0
233.6564417177914	47.0	11506.0
157.6497175141243	64.0	2348.0
162.37869822485206	55.0	4906.0
172.2341463414634	59.0	3334.0
149.58201058201058	66.0	2495.0
232.2012195121951	60.0	11506.0
273.35928143712573	59.0	12173.0
193.9047619047619	58.0	3212.0
171.5340909090909	60.0	3212.0
167.316091954023	74.5	1664.0
166.89005235602093	68.0	3799.0
204.40112994350284	60.0	4615.0
231.08391608391608	52.0	3754.0
232.32716049382717	58.0	12173.0
159.8846153846154	50.0	3047.0
129.82584269662922	49.0	1191.0
191.125	59.0	4906.0
159.9702380952381	68.5	3591.0
167.7443181818182	62.0	1915.0
170.91228070175438	62.0	2156.0
133.5505617977528	75.5	1149.0
182.3693181818182	60.0	3799.0
176.95135135135135	58.0	2304.0
157.10752688172042	59.5	3212.0
152.3395061728395	66.5	1817.0
144.50819672131146	63.0	1569.0
206.49444444444444	57.0	4615.0
166.7910447761194	63.0	2304.0
255.9825581395349	72.0	11506.0
181.19411764705882	78.5	2156.0
151.62921348314606	68.5	2304.0
180.51973684210526	42.5	2156.0
451.6424242424242	69.0	39504.0
188.7403314917127	80.0	3799.0
158.22340425531914	61.5	3212.0
202.8	42.0	11506.0
174.28070175438597	63.0	3212.0
156.42424242424244	54.0	3238.0
215.32386363636363	70.0	4906.0
136.4593023255814	62.0	1517.0
138.11875	51.5	1664.0
224.07608695652175	69.5	4906.0
239.0	61.0	5623.0
162.96341463414635	78.0	3754.0
394.77222222222224	66.5	39504.0
157.135593220339	48.0	3799.0
143.67605633802816	52.5	2348.0
155.94444444444446	61.5	3799.0
150.41752577319588	60.5	2348.0
142.52105263157895	53.5	2715.0
147.29310344827587	40.5	3047.0
386.8201058201058	73.0	39504.0
159.64948453608247	57.0	3591.0
173.0110497237569	69.0	2304.0
196.51807228915663	63.0	2495.0
194.13368983957218	48.0	3322.0
186.40804597701148	74.0	3799.0
187.52147239263803	72.0	3754.0
161.525	65.0	3212.0
159.53005464480876	65.0	1835.0
178.4022346368715	67.0	3799.0
423.0449438202247	56.5	39504.0
144.0163043478261	75.5	1698.0
235.33526011560693	66.0	4906.0
161.80794701986756	53.0	1970.0
152.63636363636363	64.5	3799.0
174.6263157894737	67.0	4615.0
181.08982035928145	66.0	2034.0
138.42931937172776	54.0	1948.0
174.77586206896552	80.5	2542.0
152.38333333333333	50.0	3799.0
116.56043956043956	50.5	1170.0
418.72486772486775	49.0	39504.0
194.57831325301206	56.5	3238.0
187.2391304347826	62.0	3212.0
147.47222222222223	59.0	2215.0
200.7	64.0	3591.0
164.3804347826087	70.0	1915.0
146.46794871794873	57.5	2304.0
346.1025641025641	53.0	39504.0
117.08620689655173	38.5	1664.0
356.46285714285716	53.0	12173.0
300.0759493670886	57.0	12173.0
246.44692737430168	75.0	11506.0
131.75925925925927	54.0	1517.0
181.79885057471265	61.0	5131.0
156.9746835443038	44.5	2542.0
165.53374233128835	60.0	3322.0
190.85632183908046	45.0	2715.0
172.85534591194968	56.0	1664.0
156.72674418604652	56.5	2156.0
170.62032085561498	64.0	2156.0
130.52380952380952	44.0	2348.0
207.96385542168676	52.0	4906.0
161.97191011235955	59.0	2715.0
175.49122807017545	56.0	3799.0
139.83050847457628	66.0	1817.0
260.0402298850575	57.0	12173.0
186.30851063829786	43.0	11506.0
160.4153005464481	63.0	3799.0
156.7608695652174	53.5	3238.0
212.01162790697674	66.5	3591.0
204.2020202020202	67.5	5131.0
